step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-20.0,20.0,4.141390490985941e-06,-12.394478797912598,0.0016053441213443875,-6.434417247772217,0.0009785841684788465,0.0,0.0,0.0016053441213443875
1,15.0,-15.0,1.5387460052807e-06,-13.384542465209961,0.001210309797897935,-6.716878890991211,0.0005422080866992474,0.0,0.0,0.001210309797897935
2,-3.689980547945771,-15.0,4.806172455573687e-06,-12.245609283447266,0.001715581165626645,-6.3680033683776855,0.0005071659106761217,0.0,0.0,0.001210309797897935
3,15.0,0.15373075295460215,6.6358334152027965e-06,-11.923026084899902,0.0023437747731804848,-6.055992603302002,0.0004703751765191555,0.0,0.0,0.001210309797897935
4,1.7482248273170513,30.0,8.536540008208249e-06,-11.671154975891113,0.0025466165971010923,-5.972989559173584,0.0004611250478774309,0.0,0.0,0.001210309797897935
5,-30.0,9.674473744266368,1.5249554053298198e-05,-11.090960502624512,0.0038729081861674786,-5.5537495613098145,0.0005125838797539473,0.0,0.0,0.001210309797897935
6,-27.837851790015463,27.581281657623126,1.6002843040041625e-05,-11.042744636535645,0.003312184475362301,-5.710147380828857,0.0004690829664468765,0.0,0.0,0.001210309797897935
7,7.856971928095046,-15.0,1.567057097418001e-07,-15.668896675109863,0.0003927116049453616,-7.842434883117676,0.0004672079812735319,0.0,0.0,0.0003927116049453616
8,4.712253458118926,-9.49843893981749,5.891607770536211e-07,-14.344566345214844,0.000767530407756567,-7.172332286834717,0.0005276661831885576,0.0,0.0,0.0003927116049453616
9,-11.679193962465343,16.36163033811498,3.8880713759681385e-07,-14.76018238067627,0.0006156531162559986,-7.392827033996582,0.0005084159784018993,0.0,0.0,0.0003927116049453616
10,-12.167043873537674,29.02118812079864,1.0646916734913248e-06,-13.752825736999512,0.001011924701742828,-6.895901203155518,0.0004626659210771322,0.0,0.0,0.0003927116049453616
11,5.468942254021025,-15.0,4.021023869427154e-07,-14.726558685302734,0.0005664544878527522,-7.476113796234131,0.0004485000390559435,0.0,0.0,0.0003927116049453616
12,-7.576938127209694,9.743018887504302,5.672183078786475e-07,-14.382521629333496,0.000644902465865016,-7.34641170501709,0.0004330831579864025,0.0,0.0,0.0003927116049453616
13,-11.84673504044364,5.921712593723866,2.3367945232166676e-06,-12.966730117797852,0.0014014688786119223,-6.570234298706055,0.00043816701509058475,0.0,0.0,0.0003927116049453616
14,-6.912413226990628,17.702677303911383,1.9714190102604334e-07,-15.439342498779297,0.00035539461532607675,-7.942281723022461,0.00043695815838873386,0.0,0.0,0.00035539461532607675
15,-3.7718330616309115,13.536908580997267,7.32407954728842e-07,-14.126928329467773,0.000737598747946322,-7.21211051940918,0.00045029097236692905,0.0,0.0,0.00035539461532607675
16,-8.60460334062629,19.529186243670125,5.5612243698988095e-08,-16.704862594604492,0.00019801223243121058,-8.527181625366211,0.0004356249701231718,0.0,0.0,0.00019801223243121058
17,-8.533039778108868,21.2681108897399,1.0555407925494364e-07,-16.064043045043945,0.00032056422787718475,-8.045428276062012,0.00043708388693630695,0.0,0.0,0.00019801223243121058
18,-8.578581466763529,18.232763228923087,5.260932667283669e-08,-16.760372161865234,0.00020732836856041104,-8.481206893920898,0.0004519589710980654,0.0,0.0,0.00019801223243121058
19,-8.735916288858824,17.9011193080267,5.1942592449449876e-08,-16.77312660217285,0.00021863005531486124,-8.428129196166992,0.00044049997813999653,0.0,0.0,0.00019801223243121058
20,-8.912822444312418,18.299047085700323,4.4657024744765295e-08,-16.924253463745117,0.00019598565995693207,-8.537468910217285,0.000437792157754302,0.0,0.0,0.00019598565995693207
21,-10.044472946553231,20.00080461885257,6.165807775460053e-08,-16.601661682128906,0.0002059392718365416,-8.487929344177246,0.0004265410825610161,0.0,0.0,0.00019598565995693207
22,-9.198477489882968,19.159622391004483,3.8445350014626456e-08,-17.07402801513672,0.0001597268710611388,-8.742045402526855,0.00043737515807151794,0.0,0.0,0.0001597268710611388
23,-9.249981507716718,19.243585293544697,3.847329210771022e-08,-17.073301315307617,0.00015879167767707258,-8.747917175292969,0.00043704197742044926,0.0,0.0,0.00015879167767707258
24,-9.301028709031263,19.23365905395362,3.864928288521696e-08,-17.068737030029297,0.00015941352467052639,-8.744009017944336,0.0004539161454886198,0.0,0.0,0.00015879167767707258
25,-9.311106093654974,19.19568881913719,3.8728650508801366e-08,-17.066686630249023,0.0001602455449756235,-8.738802909851074,0.00048774993047118187,0.0,0.0,0.00015879167767707258
26,-9.309032521762532,19.23276625089473,3.869499920483577e-08,-17.067556381225586,0.00015954425907693803,-8.743188858032227,0.0004494159948080778,0.0,0.0,0.00015879167767707258
27,-9.31562647110248,19.22681395068935,3.8738249941161484e-08,-17.066438674926758,0.00015974354755599052,-8.74194049835205,0.00044341618195176125,0.0,0.0,0.00015879167767707258
28,-9.326034522540677,19.233651366065242,3.8806845736871765e-08,-17.064668655395508,0.0001598119706613943,-8.741512298583984,0.00044854101724922657,0.0,0.0,0.00015879167767707258
29,-9.33847420663226,19.208880426765187,3.8920962452948515e-08,-17.06173324584961,0.00016051044804044068,-8.737151145935059,0.00043424987234175205,0.0,0.0,0.00015879167767707258
30,-9.324583980593344,19.226159236197876,3.879999255218536e-08,-17.06484603881836,0.00015991038526408374,-8.740897178649902,0.00043645896948873997,0.0,0.0,0.00015879167767707258
31,-9.322467372538595,19.218728455527824,3.878915322275134e-08,-17.06512451171875,0.00016000303730834275,-8.740317344665527,0.00044091721065342426,0.0,0.0,0.00015879167767707258
32,-9.324594233057448,19.225343226761762,3.8800504142955106e-08,-17.06483268737793,0.0001599245733814314,-8.740808486938477,0.00043441704474389553,0.0,0.0,0.00015879167767707258
